,0
0,"waymarWhat do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
1,"willI've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
2,waymarHow close did you get?
3,willClose as any man would.
4,garedWe should head back to the wall.
5,royceDo the dead frighten you?
6,garedOur orders were to track the wildlings. We tracked them. They won't trouble us no more.
7,royceYou don't think he'll ask us how they died? Get back on your horse.
8,willWhatever did it to them could do it to us. They even killed the children.
9,"royceIt's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
10,royceYour dead men seem to have moved camp.
11,willThey were here.
12,garedSee where they went.
13,royceWhat is it?
14,garedIt's …
15,jonGo on. Father's watching.
16,jonAnd your mother.
17,"septaFine work, as always. Well done."
18,sansaThank you.
19,septaI love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
20,"eddardAnd which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,"jonDon't think too much, Bran."
22,robbRelax your bow arm.
23,"jonrobbQuick, Bran, faster!"
24,casselLord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
25,eddardGet the lads to saddle their horses.
26,catelynDo you have to?
27,"eddardHe swore an oath, Cat."
28,"casselThe law is law, my lady."
29,"eddardTell Bran he's coming, too."
30,catelynNed. Ten is too young to see such things.
31,eddardHe won't be a boy forever. And winter is coming.
32,"robbLad, go run back and get the rest."
33,"willWhite Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
34,"willI know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
35,"eddardnods yes, and WILL is positioned on the tree limb that serves as a block."
36,"willForgive me, lord."
37,"eddardIn the name of Robert of the House Baratheon, first of his name …"
38,jonDon't look away.
39,eddardKing of the Andals and the First Men …
40,jonFather will know if you do.
41,"eddardLord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
42,jonYou did well.
43,eddardYou understand why I did it?
44,branJon said he was a deserter.
45,eddardBut do you understand why I had to kill him?
46,branOur way is the old way?
47,eddardThe man who passes the sentence should swing the sword.
48,branIs it true he saw the White Walkers?
49,eddardThe White Walkers have been gone for thousands of years.
50,branSo he was lying?
51,eddardA madman sees what he sees.
52,jonWhat is it?
53,theonMountain lion?
54,eddardThere are no mountain lions in these woods.
55,theonIt's a freak.
56,eddardIt's a direwolf.
57,eddardTough old beast.
58,robbThere are no direwolves south of the Wall.
59,jonNow there are five.
60,jonYou want to hold it?
61,branWhere will they go? Their mother's dead.
62,casselThey don't belong down here.
63,eddardBetter a quick death. They won't last without their mother.
64,theonRight. Give it here.
65,branNO!
66,robbPut away your blade.
67,"theonI take orders from your father, not you."
68,"branPlease, father!"
69,"eddardI'm sorry, Bran."
70,jonLord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
71,"eddardYou will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
72,branWhat about you?
73,jonI'm not a Stark. Get on.
74,robbWhat is it?
75,"theonThe runt of the litter. That one's yours, Snow."
76,"jaimeAs your brother, I feel it's my duty to warn you"
77,"cerseiAnd you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
